,ngram,freq,length,less1gram,less1gram_freq,hit_rate,suggest
1338,who has,18,2,who,552,0.032608696,has
3834,in the world,28,3,in the,861,0.032520325,world
2208,never been,12,2,never,369,0.032520325,been
2913,awesome and,9,2,awesome,277,0.032490975,and
4254,if you like,10,3,if you,308,0.032467532,like
426,not to,41,2,not,1263,0.032462391,to
26,i was,247,2,i,7617,0.032427465,was
2073,why does,13,2,why,401,0.032418953,does
1834,night in,14,2,night,432,0.032407407,in
1835,night of,14,2,night,432,0.032407407,of
861,as we,24,2,as,741,0.032388664,we
1500,has no,16,2,has,494,0.032388664,no
4470,i was just,8,3,i was,247,0.032388664,just
893,today and,24,2,today,742,0.032345013,and
4198,thank you to,11,3,thank you,341,0.032258065,to
759,one more,27,2,one,838,0.03221957,more
2003,off and,13,2,off,404,0.032178218,and
231,be in,65,2,be,2025,0.032098765,in
232,be the,65,2,be,2025,0.032098765,the
499,love your,37,2,love,1154,0.032062392,your
491,do not,37,2,do,1155,0.032034632,not
2942,could get,9,2,could,281,0.03202847,get
2943,could make,9,2,could,281,0.03202847,make
4488,it was just,8,3,it was,250,0.032,just
1096,by a,20,2,by,626,0.031948882,a
2593,any ideas,10,2,any,313,0.031948882,ideas
2594,any other,10,2,any,313,0.031948882,other
2168,hope its,12,2,hope,376,0.031914894,its
3215,tomorrow i,9,2,tomorrow,282,0.031914894,i
5086,to go in,6,3,to go,188,0.031914894,in
758,now im,27,2,now,847,0.031877214,im
3529,nice i,8,2,nice,251,0.03187251,i
3530,nice work,8,2,nice,251,0.03187251,work
3218,twitter account,9,2,twitter,283,0.03180212,account
170,that you,79,2,that,2488,0.031752412,you
998,some people,22,2,some,693,0.031746032,people
1204,he has,19,2,he,599,0.031719533,has
1662,right i,15,2,right,474,0.03164557,i
937,they can,23,2,they,727,0.031636864,can
1422,people that,17,2,people,538,0.031598513,that
3141,say you,9,2,say,285,0.031578947,you
5142,with the new,6,3,with the,190,0.031578947,new
4792,you are going,7,3,you are,222,0.031531532,going
4429,are you guys,8,3,are you,254,0.031496063,guys
2956,ever get,9,2,ever,286,0.031468531,get
843,no idea,25,2,no,797,0.031367629,idea
3710,very happy,8,2,very,256,0.03125,happy
5057,the best of,6,3,the best,192,0.03125,of
5058,the best thing,6,3,the best,192,0.03125,thing
1053,more like,21,2,more,674,0.03115727,like
438,like i,40,2,like,1284,0.031152648,i
3492,look good,8,2,look,257,0.031128405,good
3493,look out,8,2,look,257,0.031128405,out
4802,a good night,6,3,a good,193,0.031088083,night
4803,a good way,6,3,a good,193,0.031088083,way
4804,a good weekend,6,3,a good,193,0.031088083,weekend
281,at pm,57,2,at,1835,0.03106267,pm
554,if we,34,2,if,1095,0.031050228,we
869,go out,24,2,go,774,0.031007752,out
2417,ill get,11,2,ill,355,0.030985915,get
2418,ill let,11,2,ill,355,0.030985915,let
2996,him a,9,2,him,292,0.030821918,a
2751,over and,10,2,over,325,0.030769231,and
3297,after all,8,2,after,260,0.030769231,all
94,of a,118,2,of,3840,0.030729167,a
4643,i know but,7,3,i know,228,0.030701754,but
794,now that,26,2,now,847,0.030696576,that
771,when im,27,2,when,884,0.030542986,im
772,when we,27,2,when,884,0.030542986,we
1471,am not,16,2,am,524,0.030534351,not
2995,hey there,9,2,hey,295,0.030508475,there
4335,i dont see,9,3,i dont,295,0.030508475,see
4389,to get on,9,3,to get,295,0.030508475,on
2628,first place,10,2,first,328,0.030487805,place
687,dont even,29,2,dont,952,0.030462185,even
4640,i just finished,7,3,i just,230,0.030434783,finished
4641,i just found,7,3,i just,230,0.030434783,found
4642,i just wanna,7,3,i just,230,0.030434783,wanna
234,me a,65,2,me,2141,0.030359645,a
1537,need more,16,2,need,528,0.03030303,more
2092,youre going,13,2,youre,429,0.03030303,going
2093,youre in,13,2,youre,429,0.03030303,in
4625,have to check,7,3,have to,231,0.03030303,check
4626,have to get,7,3,have to,231,0.03030303,get
1526,make my,16,2,make,529,0.030245747,my
34,i just,230,2,i,7617,0.030195615,just
190,that was,75,2,that,2488,0.030144695,was
1062,see that,21,2,see,698,0.03008596,that
871,how did,24,2,how,798,0.030075188,did
3434,home for,8,2,home,266,0.030075188,for
3486,let them,8,2,let,266,0.030075188,them
838,know when,25,2,know,832,0.030048077,when
849,u know,25,2,u,832,0.030048077,know
2754,please help,10,2,please,333,0.03003003,help
35,i know,228,2,i,7617,0.029933045,know
703,rt the,29,2,rt,969,0.029927761,the
2309,why are,12,2,why,401,0.029925187,are
1888,want me,14,2,want,468,0.02991453,me
2952,down in,9,2,down,301,0.029900332,in
522,up in,36,2,up,1205,0.029875519,in
1857,thats all,14,2,thats,469,0.029850746,all
3721,week is,8,2,week,268,0.029850746,is
3722,week so,8,2,week,268,0.029850746,so
3723,week to,8,2,week,268,0.029850746,to
1624,happy holidays,15,2,happy,503,0.029821074,holidays
1625,happy hour,15,2,happy,503,0.029821074,hour
2474,never be,11,2,never,369,0.029810298,be
3255,yes you,9,2,yes,302,0.029801325,you
1891,were all,14,2,were,470,0.029787234,all
2261,them and,12,2,them,403,0.029776675,and
2726,next one,10,2,next,336,0.029761905,one
2770,show in,10,2,show,336,0.029761905,in
475,its all,38,2,its,1278,0.029733959,all
638,will do,31,2,will,1043,0.029721956,do
953,as you,22,2,as,741,0.029689609,you
309,with me,54,2,with,1819,0.029686641,me
310,with your,54,2,with,1819,0.029686641,your
36,i can,226,2,i,7617,0.029670474,can
4572,and i didnt,7,3,and i,236,0.029661017,didnt
4573,and i know,7,3,and i,236,0.029661017,know
4574,and i think,7,3,and i,236,0.029661017,think
4575,and i was,7,3,and i,236,0.029661017,was
2123,come join,12,2,come,405,0.02962963,join
2124,come true,12,2,come,405,0.02962963,TRUE
2125,come up,12,2,come,405,0.02962963,up
2167,here we,12,2,here,405,0.02962963,we
4393,to see that,9,3,to see,304,0.029605263,that
42,a good,193,2,a,6533,0.029542324,good
2973,game and,9,2,game,305,0.029508197,and
2974,game on,9,2,game,305,0.029508197,on
330,so far,51,2,so,1731,0.029462738,far
55,you have,169,2,you,5740,0.029442509,have
810,when youre,26,2,when,884,0.029411765,youre
488,all day,37,2,all,1261,0.029341792,day
90,for you,120,2,for,4096,0.029296875,you
5259,thanks for the shout,7,4,thanks for the,239,0.029288703,shout
2407,hope everyone,11,2,hope,376,0.029255319,everyone
1055,new followers,21,2,new,718,0.029247911,followers
3070,man of,9,2,man,308,0.029220779,of
3348,big things,8,2,big,274,0.02919708,things
57,you know,167,2,you,5740,0.029094077,know
502,was in,37,2,was,1273,0.0290652,in
2360,best way,11,2,best,379,0.029023747,way
725,day and,28,2,day,966,0.028985507,and
4837,but i do,6,3,but i,207,0.028985507,do
4670,in a couple,7,3,in a,242,0.02892562,couple
4117,i love how,12,3,i love,415,0.028915663,how
4118,i love that,12,3,i love,415,0.028915663,that
4119,i love u,12,3,i love,415,0.028915663,u
3336,awesome thanks,8,2,awesome,277,0.028880866,thanks
929,no more,23,2,no,797,0.028858218,more
914,how is,23,2,how,798,0.028822055,is
676,will never,30,2,will,1043,0.028763183,never
1274,by and,18,2,by,626,0.028753994,and
2902,any questions,9,2,any,313,0.028753994,questions
2903,any time,9,2,any,313,0.028753994,time
1710,well im,15,2,well,523,0.028680688,im
1933,did that,13,2,did,454,0.028634361,that
1598,am the,15,2,am,524,0.028625954,the
576,do u,33,2,do,1155,0.028571429,u
3363,could do,8,2,could,281,0.028469751,do
4657,i was at,7,3,i was,247,0.028340081,at
2736,oh how,10,2,oh,353,0.028328612,how
1180,back at,19,2,back,671,0.028315946,at
2787,than that,10,2,than,354,0.028248588,that
4021,on the way,14,3,on the,497,0.028169014,way
2674,ill check,10,2,ill,355,0.028169014,check
2675,ill just,10,2,ill,355,0.028169014,just
2802,then the,10,2,then,356,0.028089888,the
102,for me,115,2,for,4096,0.028076172,me
3599,say the,8,2,say,285,0.028070175,the
3600,say we,8,2,say,285,0.028070175,we
966,great night,22,2,great,784,0.028061224,night
4167,going to bed,11,3,going to,392,0.028061224,bed
4685,it was funny,7,3,it was,250,0.028,funny
3381,ever and,8,2,ever,286,0.027972028,and
2494,should do,11,2,should,394,0.027918782,do
4857,do you feel,6,3,do you,216,0.027777778,feel
2011,really want,13,2,really,469,0.02771855,want
2036,thats when,13,2,thats,469,0.02771855,when
2068,were in,13,2,were,470,0.027659574,in
3145,she has,9,2,she,326,0.027607362,has
987,no i,22,2,no,797,0.027603513,i
968,how was,22,2,how,798,0.027568922,was
2076,work out,13,2,work,472,0.027542373,out
2077,work to,13,2,work,472,0.027542373,to
2963,first day,9,2,first,328,0.027439024,day
2567,why would,11,2,why,401,0.027431421,would
651,if they,30,2,if,1095,0.02739726,they
823,from you,25,2,from,917,0.027262814,you
1498,got me,16,2,got,587,0.02725724,me
331,at a,50,2,at,1835,0.027247956,a
2482,off of,11,2,off,404,0.027227723,of
2483,off work,11,2,off,404,0.027227723,work
3405,getting in,8,2,getting,294,0.027210884,in
3406,getting my,8,2,getting,294,0.027210884,my
3407,getting up,8,2,getting,294,0.027210884,up
2055,tonight with,13,2,tonight,478,0.027196653,with
2404,here to,11,2,here,405,0.027160494,to
3433,hey thanks,8,2,hey,295,0.027118644,thanks
586,out on,33,2,out,1220,0.02704918,on
5146,you are my,6,3,you are,222,0.027027027,my
484,we love,38,2,we,1407,0.027007818,love
578,get me,33,2,get,1222,0.02700491,me
66,you can,155,2,you,5740,0.027003484,can
490,but it,37,2,but,1372,0.02696793,it
347,have no,48,2,have,1780,0.026966292,no
4225,at the end,10,3,at the,372,0.02688172,end
626,love that,31,2,love,1154,0.026863085,that
741,will you,28,2,will,1043,0.026845638,you
4554,will be the,8,3,will be,298,0.026845638,the
4555,will be there,8,3,will be,298,0.026845638,there
620,do this,31,2,do,1155,0.026839827,this
1032,great job,21,2,great,784,0.026785714,job
3147,show at,9,2,show,336,0.026785714,at
3304,always have,8,2,always,299,0.026755853,have
1733,am going,14,2,am,524,0.026717557,going
115,is it,102,2,is,3826,0.026659697,it
3379,down with,8,2,down,301,0.026578073,with
1831,need some,14,2,need,528,0.026515152,some
1832,need you,14,2,need,528,0.026515152,you
4180,i love this,11,3,i love,415,0.026506024,this
557,like you,34,2,like,1284,0.026479751,you
1939,follow us,13,2,follow,491,0.026476578,us
1822,make that,14,2,make,529,0.026465028,that
673,what we,30,2,what,1140,0.026315789,we
1035,how about,21,2,how,798,0.026315789,about
1230,or something,19,2,or,722,0.026315789,something
4535,to see u,8,3,to see,304,0.026315789,u
503,we were,37,2,we,1407,0.026297086,were
820,dont you,25,2,dont,952,0.026260504,you
4199,thanks for all,11,3,thanks for,421,0.026128266,all
3880,for the next,20,3,for the,766,0.026109661,next
4924,i just love,6,3,i just,230,0.026086957,love
4925,i just met,6,3,i just,230,0.026086957,met
858,about your,24,2,about,922,0.026030369,your
989,now its,22,2,now,847,0.025974026,its
4473,if you think,8,3,if you,308,0.025974026,think
4900,have to wait,6,3,have to,231,0.025974026,wait
590,was just,33,2,was,1273,0.025923016,just
393,im sure,44,2,im,1705,0.025806452,sure
1753,cant be,14,2,cant,544,0.025735294,be
1754,cant stop,14,2,cant,544,0.025735294,stop
437,just saw,40,2,just,1556,0.025706941,saw
1440,there a,17,2,there,662,0.025679758,a
1179,as an,19,2,as,741,0.025641026,an
2299,want it,12,2,want,468,0.025641026,it
4654,i think it,7,3,i think,273,0.025641026,it
524,we had,36,2,we,1407,0.025586354,had
2231,really like,12,2,really,469,0.025586354,like
2244,thats great,12,2,thats,469,0.025586354,great
2245,thats it,12,2,thats,469,0.025586354,it
2246,thats so,12,2,thats,469,0.025586354,so
4324,for a few,9,3,for a,352,0.025568182,few
3325,any better,8,2,any,313,0.025559105,better
1621,got some,15,2,got,587,0.025553663,some
4241,going to make,10,3,going to,392,0.025510204,make
3108,oh you,9,2,oh,353,0.025495751,you
863,can help,24,2,can,943,0.025450689,help
2316,work in,12,2,work,472,0.025423729,in
4821,and i just,6,3,and i,236,0.025423729,just
4822,and i still,6,3,and i,236,0.025423729,still
4087,to be on,13,3,to be,512,0.025390625,on
2769,should come,10,2,should,394,0.025380711,come
1895,who have,14,2,who,552,0.025362319,have
1896,who i,14,2,who,552,0.025362319,i
3024,ill do,9,2,ill,355,0.025352113,do
1355,back and,17,2,back,671,0.02533532,and
3188,then it,9,2,then,356,0.025280899,it
2851,way of,10,2,way,396,0.025252525,of
403,im just,43,2,im,1705,0.025219941,just
202,on your,72,2,on,2857,0.02520126,your
2285,tonight is,12,2,tonight,478,0.025104603,is
5306,thanks for the rts,6,4,thanks for the,239,0.025104603,rts
1306,new years,18,2,new,718,0.025069638,years
4464,i have ever,8,3,i have,320,0.025,ever
901,about how,23,2,about,922,0.02494577,how
2860,why did,10,2,why,401,0.024937656,did
2861,why dont,10,2,why,401,0.024937656,dont
1310,or the,18,2,or,722,0.024930748,the
811,will get,26,2,will,1043,0.024928092,get
1014,when u,22,2,when,884,0.024886878,u
2801,them out,10,2,them,403,0.024813896,out
3890,for the first,19,3,for the,766,0.024804178,first
4959,in a long,6,3,in a,242,0.024793388,long
550,but its,34,2,but,1372,0.024781341,its
1325,they will,18,2,they,727,0.024759285,will
2614,come and,10,2,come,405,0.024691358,and
2358,been to,11,2,been,446,0.024663677,to
2784,still be,10,2,still,406,0.024630542,be
3569,over it,8,2,over,325,0.024615385,it
422,are so,41,2,are,1666,0.024609844,so
5116,want to miss,6,3,want to,244,0.024590164,miss
618,all you,31,2,all,1261,0.024583664,you
649,get in,30,2,get,1222,0.024549918,in
1199,go on,19,2,go,774,0.024547804,on
1430,some new,17,2,some,693,0.024531025,new
4805,a great idea,6,3,a great,245,0.024489796,idea
1874,think they,14,2,think,572,0.024475524,they
2139,follow my,12,2,follow,491,0.024439919,my
908,can make,23,2,can,943,0.024390244,make
3091,never know,9,2,never,369,0.024390244,know
3092,never let,9,2,never,369,0.024390244,let
1425,see this,17,2,see,698,0.024355301,this
4943,i was hoping,6,3,i was,247,0.024291498,hoping
4944,i was like,6,3,i was,247,0.024291498,like
726,do that,28,2,do,1155,0.024242424,that
1200,great weekend,19,2,great,784,0.024234694,weekend
2375,did he,11,2,did,454,0.024229075,he
1567,there for,16,2,there,662,0.024169184,for
2008,people i,13,2,people,538,0.024163569,i
4136,on the road,12,3,on the,497,0.024144869,road
132,is going,92,2,is,3826,0.024046001,going
133,is so,92,2,is,3826,0.024046001,so
3580,please rt,8,2,please,333,0.024024024,rt
3581,please tell,8,2,please,333,0.024024024,tell
4977,it was fun,6,3,it was,250,0.024,fun
4978,it was so,6,3,it was,250,0.024,so
3003,hope i,9,2,hope,376,0.02393617,i
3004,hope so,9,2,hope,376,0.02393617,so
3005,hope that,9,2,hope,376,0.02393617,that
3006,hope youll,9,2,hope,376,0.02393617,youll
1928,cant even,13,2,cant,544,0.023897059,even
3608,show the,8,2,show,336,0.023809524,the
4277,thanks for coming,10,3,thanks for,421,0.023752969,coming
4278,thanks for your,10,3,thanks for,421,0.023752969,your
2922,best and,9,2,best,379,0.023746702,and
2923,best thing,9,2,best,379,0.023746702,thing
1532,more days,16,2,more,674,0.023738872,days
689,get on,29,2,get,1222,0.023731588,on
690,get your,29,2,get,1222,0.023731588,your
4634,i dont need,7,3,i dont,295,0.023728814,need
4756,to get out,7,3,to get,295,0.023728814,out
825,good day,25,2,good,1054,0.023719165,day
430,so many,41,2,so,1731,0.023685731,many
2060,us a,13,2,us,549,0.023679417,a
4829,are you at,6,3,are you,254,0.023622047,at
4830,are you in,6,3,are you,254,0.023622047,in
4831,are you ready,6,3,are you,254,0.023622047,ready
1124,now on,20,2,now,847,0.023612751,on
1882,too i,14,2,too,593,0.023608769,i
4784,will be back,7,3,will be,298,0.023489933,back
2489,really need,11,2,really,469,0.023454158,need
1472,an email,16,2,an,683,0.023426061,email
1441,they just,17,2,they,727,0.023383769,just
1777,he did,14,2,he,599,0.023372287,did
1778,he doesnt,14,2,he,599,0.023372287,doesnt
4075,of the best,13,3,of the,559,0.023255814,best
4076,of the world,13,3,of the,559,0.023255814,world
4077,of the year,13,3,of the,559,0.023255814,year
2727,night to,10,2,night,432,0.023148148,to
959,dont need,22,2,dont,952,0.023109244,need
50,i cant,176,2,i,7617,0.02310621,cant
2468,much fun,11,2,much,477,0.023060797,fun
4761,to see if,7,3,to see,304,0.023026316,if
4762,to see this,7,3,to see,304,0.023026316,this
2544,tonight and,11,2,tonight,478,0.023012552,and
681,all your,29,2,all,1261,0.022997621,your
3432,her to,8,2,her,348,0.022988506,to
1551,see u,16,2,see,698,0.022922636,u
1552,see us,16,2,see,698,0.022922636,us
2097,am a,12,2,am,524,0.022900763,a
2098,am and,12,2,am,524,0.022900763,and
3146,should get,9,2,should,394,0.02284264,get
1223,know who,19,2,know,832,0.022836538,who
832,if the,25,2,if,1095,0.02283105,the
957,day i,22,2,day,966,0.022774327,i
870,good thing,24,2,good,1054,0.022770398,thing
614,we do,32,2,we,1407,0.022743426,do
4661,if you can,7,3,if you,308,0.022727273,can
4662,if you havent,7,3,if you,308,0.022727273,havent
2199,make your,12,2,make,529,0.02268431,your
3547,oh no,8,2,oh,353,0.02266289,no
789,love this,26,2,love,1154,0.022530329,this
538,just a,35,2,just,1556,0.022493573,a
3664,then its,8,2,then,356,0.02247191,its
2381,follow and,11,2,follow,491,0.022403259,and
3187,them all,9,2,them,403,0.022332506,all
46,to go,188,2,to,8421,0.02232514,go
2227,people to,12,2,people,538,0.022304833,to
211,it to,70,2,it,3139,0.022300096,to
474,im gonna,38,2,im,1705,0.02228739,gonna
2397,has an,11,2,has,494,0.022267206,an
1652,more of,15,2,more,674,0.022255193,of
2940,come home,9,2,come,405,0.022222222,home
141,in your,89,2,in,4007,0.022211131,your
760,out and,27,2,out,1220,0.022131148,and
56,i will,168,2,i,7617,0.022055928,will
1444,time with,17,2,time,771,0.022049287,with
4452,have a nice,8,3,have a,363,0.022038567,nice
4936,i think my,6,3,i think,273,0.021978022,my
4937,i think of,6,3,i think,273,0.021978022,of
4938,i think they,6,3,i think,273,0.021978022,they
2997,his first,9,2,his,410,0.02195122,first
2998,his new,9,2,his,410,0.02195122,new
2999,his own,9,2,his,410,0.02195122,own
2056,too long,13,2,too,593,0.021922428,long
4637,i have some,7,3,i have,320,0.021875,some
2396,happy easter,11,2,happy,503,0.021868787,easter
2297,us at,12,2,us,549,0.021857923,at
2298,us in,12,2,us,549,0.021857923,in
911,good night,23,2,good,1054,0.021821632,night
1023,day for,21,2,day,966,0.02173913,for
2308,who came,12,2,who,552,0.02173913,came
1951,he would,13,2,he,599,0.021702838,would
1087,about you,20,2,about,922,0.021691974,you
3525,never get,8,2,never,369,0.021680217,get
2317,would make,12,2,would,554,0.02166065,make
1669,some great,15,2,some,693,0.021645022,great
1670,some more,15,2,some,693,0.021645022,more
1299,know im,18,2,know,832,0.021634615,im
1575,today in,16,2,today,742,0.021563342,in
1576,today was,16,2,today,742,0.021563342,was
1255,when your,19,2,when,884,0.021493213,your
1664,see if,15,2,see,698,0.021489971,if
1665,see my,15,2,see,698,0.021489971,my
143,for your,88,2,for,4096,0.021484375,your
4202,to be one,11,3,to be,512,0.021484375,one
500,so good,37,2,so,1731,0.021374928,good
1414,no problem,17,2,no,797,0.021329987,problem
2756,really really,10,2,really,469,0.021321962,really
2791,thats good,10,2,thats,469,0.021321962,good
796,out with,26,2,out,1220,0.021311475,with
235,my mom,65,2,my,3053,0.021290534,mom
3435,hope he,8,2,hope,376,0.021276596,he
1307,now and,18,2,now,847,0.021251476,and
399,be on,43,2,be,2025,0.021234568,on
163,is not,81,2,is,3826,0.021170936,not
1873,there to,14,2,there,662,0.021148036,to
685,but not,29,2,but,1372,0.021137026,not
751,its been,27,2,its,1278,0.021126761,been
2560,well that,11,2,well,523,0.021032505,that
1101,dont worry,20,2,dont,952,0.021008403,worry
916,if its,23,2,if,1095,0.021004566,its
3273,youre right,9,2,youre,429,0.020979021,right
240,my life,64,2,my,3053,0.020962987,life
1743,back home,14,2,back,671,0.020864382,home
4297,to the next,10,3,to the,480,0.020833333,next
2454,make them,11,2,make,529,0.020793951,them
2455,make this,11,2,make,529,0.020793951,this
1827,more i,14,2,more,674,0.020771513,i
1828,more to,14,2,more,674,0.020771513,to
850,up at,25,2,up,1205,0.020746888,at
53,to do,174,2,to,8421,0.020662629,do
1689,they do,15,2,they,727,0.020632737,do
1690,they get,15,2,they,727,0.020632737,get
793,not be,26,2,not,1263,0.020585907,be
154,for my,84,2,for,4096,0.020507813,my
3484,last name,8,2,last,391,0.020460358,name
824,get back,25,2,get,1222,0.020458265,back
2159,got an,12,2,got,587,0.02044293,an
2160,got home,12,2,got,587,0.02044293,home
2161,got you,12,2,got,587,0.02044293,you
4447,going to do,8,3,going to,392,0.020408163,do
4448,going to sleep,8,3,going to,392,0.020408163,sleep
1648,lol im,15,2,lol,736,0.020380435,im
787,its like,26,2,its,1278,0.020344288,like
4914,i dont wanna,6,3,i dont,295,0.020338983,wanna
174,of your,78,2,of,3840,0.0203125,your
3606,should go,8,2,should,394,0.020304569,go
2369,cant find,11,2,cant,544,0.020220588,find
2370,cant sleep,11,2,cant,544,0.020220588,sleep
1699,today at,15,2,today,742,0.020215633,at
101,you for,116,2,you,5740,0.020209059,for
3718,way back,8,2,way,396,0.02020202,back
3719,way more,8,2,way,396,0.02020202,more
2920,been there,9,2,been,446,0.020179372,there
489,at home,37,2,at,1835,0.020163488,home
971,if he,22,2,if,1095,0.020091324,he
1538,no way,16,2,no,797,0.020075282,way
249,it out,63,2,it,3139,0.020070086,out
505,your life,37,2,your,1845,0.020054201,life
1504,how long,16,2,how,798,0.020050125,long
1505,how the,16,2,how,798,0.020050125,the
2550,us your,11,2,us,549,0.02003643,your
2165,he got,12,2,he,599,0.020033389,got
1189,dont be,19,2,dont,952,0.019957983,be
1190,dont wanna,19,2,dont,952,0.019957983,wanna
3740,why cant,8,2,why,401,0.019950125,cant
3741,why they,8,2,why,401,0.019950125,they
555,im in,34,2,im,1705,0.019941349,in
922,love u,23,2,love,1154,0.019930676,u
2566,who will,11,2,who,552,0.019927536,will
740,we all,28,2,we,1407,0.019900498,all
4603,for a new,7,3,for a,352,0.019886364,new
4604,for a reason,7,3,for a,352,0.019886364,reason
2648,happy monday,10,2,happy,503,0.019880716,monday
3661,them but,8,2,them,403,0.019851117,but
3662,them up,8,2,them,403,0.019851117,up
3663,them with,8,2,them,403,0.019851117,with
573,are going,33,2,are,1666,0.019807923,going
3545,off all,8,2,off,404,0.01980198,all
3546,off for,8,2,off,404,0.01980198,for
3360,come over,8,2,come,405,0.019753086,over
3557,only have,8,2,only,405,0.019753086,have
3558,only if,8,2,only,405,0.019753086,if
3559,only in,8,2,only,405,0.019753086,in
3560,only person,8,2,only,405,0.019753086,person
3561,only thing,8,2,only,405,0.019753086,thing
3562,only way,8,2,only,405,0.019753086,way
3923,in the middle,17,3,in the,861,0.019744483,middle
5092,to see my,6,3,to see,304,0.019736842,my
5093,to see some,6,3,to see,304,0.019736842,some
3619,still the,8,2,still,406,0.019704433,the
68,i want,150,2,i,7617,0.019692792,want
2157,going well,12,2,going,610,0.019672131,well
1186,day is,19,2,day,966,0.019668737,is
561,so excited,34,2,so,1731,0.019641826,excited
867,get my,24,2,get,1222,0.019639935,my
43,the best,192,2,the,9784,0.019623876,best
1232,rt rt,19,2,rt,969,0.019607843,rt
1233,rt this,19,2,rt,969,0.019607843,this
288,on twitter,56,2,on,2857,0.01960098,twitter
79,a lot,128,2,a,6533,0.019592836,lot
3964,for the support,15,3,for the,766,0.019582245,support
4289,to be so,10,3,to be,512,0.01953125,so
1262,about this,18,2,about,922,0.019522777,this
4951,if you ever,6,3,if you,308,0.019480519,ever
4952,if you follow,6,3,if you,308,0.019480519,follow
839,like im,25,2,like,1284,0.019470405,im
264,it in,61,2,it,3139,0.01943294,in
1012,what to,22,2,what,1140,0.019298246,to
1995,more followers,13,2,more,674,0.019287834,followers
4623,have a lot,7,3,have a,363,0.019283747,lot
4624,have a wonderful,7,3,have a,363,0.019283747,wonderful
195,of you,74,2,of,3840,0.019270833,you
450,be there,39,2,be,2025,0.019259259,there
1458,when people,17,2,when,884,0.019230769,people
1459,when she,17,2,when,884,0.019230769,she
1518,know its,16,2,know,832,0.019230769,its
2530,think it,11,2,think,572,0.019230769,it
2531,think we,11,2,think,572,0.019230769,we
3228,want some,9,2,want,468,0.019230769,some
3229,want the,9,2,want,468,0.019230769,the
3134,really is,9,2,really,469,0.019189765,is
1156,will make,20,2,will,1043,0.019175455,make
2119,by my,12,2,by,626,0.019169329,my
2853,well as,10,2,well,523,0.019120459,as
529,at work,35,2,at,1835,0.019073569,work
2988,had some,9,2,had,472,0.019067797,some
3250,work for,9,2,work,472,0.019067797,for
3251,work is,9,2,work,472,0.019067797,is
981,love my,22,2,love,1154,0.019064125,my
958,do with,22,2,do,1155,0.019047619,with
1913,an eye,13,2,an,683,0.019033675,eye
1914,an old,13,2,an,683,0.019033675,old
1818,lol rt,14,2,lol,736,0.019021739,rt
3137,right on,9,2,right,474,0.018987342,on
779,but we,26,2,but,1372,0.018950437,we
71,i need,144,2,i,7617,0.018905081,need
2713,make some,10,2,make,529,0.018903592,some
1880,today for,14,2,today,742,0.018867925,for
3083,much appreciated,9,2,much,477,0.018867925,appreciated
1629,how we,15,2,how,798,0.018796992,we
880,its time,24,2,its,1278,0.018779343,time
2224,our way,12,2,our,639,0.018779343,way
4921,i have an,6,3,i have,320,0.01875,an
440,me know,40,2,me,2141,0.018682858,know
3770,youre doing,8,2,youre,429,0.018648019,doing
3771,youre so,8,2,youre,429,0.018648019,so
3772,youre still,8,2,youre,429,0.018648019,still
2016,see me,13,2,see,698,0.018624642,me
2752,people on,10,2,people,538,0.018587361,on
3944,in the first,16,3,in the,861,0.018583043,first
580,have fun,33,2,have,1780,0.018539326,fun
3531,night for,8,2,night,432,0.018518519,for
809,we dont,26,2,we,1407,0.018479033,dont
1346,about that,17,2,about,922,0.018438178,that
570,your favorite,34,2,your,1845,0.018428184,favorite
2612,cant go,10,2,cant,544,0.018382353,go
2613,cant say,10,2,cant,544,0.018382353,say
2403,he didnt,11,2,he,599,0.01836394,didnt
1008,up a,22,2,up,1205,0.018257261,a
1009,up my,22,2,up,1205,0.018257261,my
902,all is,23,2,all,1261,0.018239492,is
903,all that,23,2,all,1261,0.018239492,that
459,me too,39,2,me,2141,0.018215787,too
2843,us and,10,2,us,549,0.018214936,and
2844,us with,10,2,us,549,0.018214936,with
930,not even,23,2,not,1263,0.01821061,even
1050,love and,21,2,love,1154,0.018197574,and
1876,time and,14,2,time,771,0.018158236,and
151,and a,85,2,and,4687,0.018135268,a
2262,there will,12,2,there,662,0.018126888,will
2859,who can,10,2,who,552,0.018115942,can
4368,on the phone,9,3,on the,497,0.018108652,phone
1999,new album,13,2,new,718,0.01810585,album
214,is that,69,2,is,3826,0.018034501,that
993,out in,22,2,out,1220,0.018032787,in
1701,u get,15,2,u,832,0.018028846,get
1702,u got,15,2,u,832,0.018028846,got
1703,u r,15,2,u,832,0.018028846,r
641,are a,30,2,are,1666,0.018007203,a
919,its going,23,2,its,1278,0.01799687,going
920,its on,23,2,its,1278,0.01799687,on
575,at all,33,2,at,1835,0.017983651,all
3346,been so,8,2,been,446,0.01793722,so
1659,one is,15,2,one,838,0.017899761,is
2989,happy bday,9,2,happy,503,0.017892644,bday
4270,of the night,10,3,of the,559,0.017889088,night
4618,going to see,7,3,going to,392,0.017857143,see
4619,going to take,7,3,going to,392,0.017857143,take
852,we just,25,2,we,1407,0.017768301,just
1358,day at,17,2,day,966,0.017598344,at
116,you guys,101,2,you,5740,0.017595819,guys
5049,thank you jesus,6,3,thank you,341,0.017595308,jesus
4386,to be back,9,3,to be,512,0.017578125,back
1153,what did,20,2,what,1140,0.01754386,did
